"New fish gape query extracted on Jul 11, 2013",,,,,,,,,,,,,,,,,,,,,,,,
JD changed FGs to match the classifications in the thesis before running this query.,,,,,,,,,,,,,,,,,,,,,,,,
"This output contains specimens that have BOTH gape height and gape width measurements, are fish, and have more than three specimens per species collected",,,,,,,,,,,,,,,,,,,,,,,,
SpecimenID,Family,Order,Genus,SpeciesCode,j_fg,Site,Region,TL,SL,FL,wt,length(cm),a (cm),b (cm),calc_wt,gh,gw,dissected_by,PreyType,PreySize,stomach_contents,prey_size,coll_notes,dis_notes
KIF11_050,Carangidae,Perciformes,Caranx,CA.MELA,Pi,27,HP.HF,272,223,236,263.3,,,,,27.6,31,SC,fish,19.3,rotten fish (digested) TL minimum of = 19.3mm,,,
KIF11_171,Carangidae,Perciformes,Caranx,CA.MELA,Pi,27,HP.HF,415,320,360,1054.9,,,,,39.2,40.8,,fish,76,"atleast 4 fish; minimum TL's: 76mm, 52mm, 31mm, 33mm",,Check photo??. I think this is probably actually Ca.ferda,Check photo??. I think this is probably actually Ca.ferda
KIF11_171,Carangidae,Perciformes,Caranx,CA.MELA,Pi,27,HP.HF,415,320,360,1054.9,,,,,39.2,40.8,,fish,52,"atleast 4 fish; minimum TL's: 76mm, 52mm, 31mm, 33mm",,Check photo??. I think this is probably actually Ca.ferda,Check photo??. I think this is probably actually Ca.ferda
KIF11_171,Carangidae,Perciformes,Caranx,CA.MELA,Pi,27,HP.HF,415,320,360,1054.9,,,,,39.2,40.8,,fish,31,"atleast 4 fish; minimum TL's: 76mm, 52mm, 31mm, 33mm",,Check photo??. I think this is probably actually Ca.ferda,Check photo??. I think this is probably actually Ca.ferda
KIF11_171,Carangidae,Perciformes,Caranx,CA.MELA,Pi,27,HP.HF,415,320,360,1054.9,,,,,39.2,40.8,,fish,33,"atleast 4 fish; minimum TL's: 76mm, 52mm, 31mm, 33mm",,Check photo??. I think this is probably actually Ca.ferda,Check photo??. I think this is probably actually Ca.ferda
KIF12_050,Carangidae,Perciformes,Caranx,CA.MELA,Pi,8,HP.LF,585,490,520,2200,,,,,27.6,19,RT,fish,7,fish remains; scales; fish:,7mm fish,,
KIF12_106,Carangidae,Perciformes,Caranx,CA.MELA,Pi,3,LP.MF,596,510,540,2833.1,,,,,49.6,70,RT,fish,130,fish remains; scales - biggest fish 130mm TL,130 mm TL,,
KIF12_197,Carangidae,Perciformes,Caranx,CA.MELA,Pi,19,LP.LF,530,445,485,1980,,,,,55.8,65.5,SC,invert,NA,crustacean larvae,,,
KIF12_232,Carangidae,Perciformes,Caranx,CA.MELA,Pi,8,HP.LF,550,460,486,1816,,,,,54,74.3,SC,fish,NA,fish scales,,,. Original recorded weight: 4lbs
KIF12_233,Carangidae,Perciformes,Caranx,CA.MELA,Pi,6,HP.LF,580,500,524,2678.6,,,,,60.2,82.2,SC,fish,NA,pearl & digested fish matter,,,. Original recorded weight: 5.9lbs
KIF12_248,Carangidae,Perciformes,Caranx,CA.MELA,Pi,15,LP.LF,573,498,521,2043,,,,,57,64.8,RT,fish,NA,otoliths & fish scales in gut,,,. Original recorded weight: 4.5lbs
KIF12_249,Carangidae,Perciformes,Caranx,CA.MELA,Pi,15,LP.LF,510,415,445,1362,,,,,52,57.3,SC,fish,NA,empty gut,,,. Original recorded weight: 3lbs
KIF12_252,Carangidae,Perciformes,Caranx,CA.MELA,Pi,15,LP.LF,211,179,186,126.6,,,,,21.4,25,RT,invert,25,digesting crustacean, crab larvae: 25mm,,
KIF12_286,Carangidae,Perciformes,Caranx,CA.MELA,Pi,24,LP.MF,368,306,324,620,,,,,44.6,47,AB,NA,NA,green goop,,,
KIF12_311,Carangidae,Perciformes,Caranx,CA.MELA,Pi,15,LP.LF,586,496,516,2133.8,,,,,65,69.2,LW,empty,NA,empty stomach,,other otolith smashed,other otolith smashed. Original recorded weight: 4.7lbs
KIF12_312,Carangidae,Perciformes,Caranx,CA.MELA,Pi,15,LP.LF,720,595,635,3722.8,,,,,70,82.6,RT,fish,NA,empty stomach except for 2 fish eye lenses,,,. Original recorded weight: 8.2lbs
KIF12_333,Carangidae,Perciformes,Caranx,CA.MELA,Pi,8,HP.LF,580,476,504,2156.5,,,,,60,75,SC,fish,143,little sordidus (143mm), unID'd fish (185mm) - sample only taken from unID'd fish,,. Original recorded weight: 4.75lbs
